Id,imdbId,Label,Year,Genre
m127098,tt0223509,Extraordinary Illusions,1903,Comedy
m147746,tt0223622,The Magic Lantern,1903,Fantasy
m44449,tt0223755,The Monster,1903,"Fantasy,Horror"
m195954,tt0224172,The Drawing Lesson,1903,
m190683,tt0224272,Jupiter's Thunderballs,1903,"Comedy,Fantasy"
m2963,tt0000499,The Impossible Voyage,1904,"Adventure,Comedy,Fantasy,Science Fiction"
m44324,tt0135631,The Untameable Whiskers,1904,"Short,Fantasy"
m94643,tt0000498,Rescued by Rover,1905,Drama
m144444,tt0000524,New York Subway,1905,Documentary
m44333,tt0135179,The Living Playing Cards,1905,Fantasy
m44330,tt0135690,The Scheming Gambler's Paradise,1905,Short
m44342,tt0215575,The Black Imp,1905,"Fantasy,Comedy"
m132379,tt0000534,The '?' Motorist,1906,"Science Fiction,Fantasy,Comedy"
m94702,tt0000546,Dream of a Rarebit Fiend,1906,"Fantasy,Comedy"
m134750,tt0000554,Humorous Phases of Funny Faces,1906,"Comedy,Animation"
m137757,tt0000567,The Merry Frolics of Satan,1906,"Comedy,Fantasy,Horror"
m20105,tt0000574,The Story of the Kelly Gang,1906,"History,Action,Drama,Crime"
m49277,tt0135122,The Hilarious Posters,1906,"Fantasy,Comedy"
m150396,tt0000614,The Red Spectre,1907,"Fantasy,Horror"
m148511,tt0140772,The 'Teddy' Bears,1907,"Comedy,Fantasy"
m196491,tt0173368,Les tulipes,1907,"Short,Fantasy"
m114145,tt0224304,Tunneling the English Channel,1907,
m142026,tt0246507,The Dancing Pig,1907,Comedy
m143634,tt0000516,The Electric Hotel,1908,"Science Fiction,Comedy,Animation"
m85221,tt0000682,Fantasmagorie,1908,Animation
m85220,tt0288252,The Thieving Hand,1908,Comedy
m49270,tt0000832,A Corner in Wheat,1909,Drama
m36874,tt0000833,The Country Doctor,1909,Drama
m127105,tt0000942,The Lonely Villa,1909,"Thriller,Drama,Action"
m20650,tt0001032,The Sealed Room,1909,"Drama,Horror"
m118943,tt0001062,Those Awful Hats,1909,Comedy
m49271,tt0127948,The Devilish Tenant,1909,"Fantasy,Comedy"
m130015,tt0228696,Le Papillon Fantastique,1909,"Horror,Fantasy"
m144454,tt0256939,Moscow Clad in Snow,1909,Documentary
m194039,tt0277985,The Dentures,1909,Comedy
m77133,tt0001105,The Woman Always Pays,1910,Drama
m2929,tt0001223,Frankenstein,1910,"Horror,Science Fiction"
m189586,tt0001265,In the Border States,1910,"Drama,War"
m189584,tt0001431,The Unchanging Sea,1910,Drama
m53759,tt0001463,The Wonderful Wizard of Oz,1910,"Adventure,Comedy,Fantasy"
m193977,tt0279692,Birth of a Flower,1910,Documentary
m193959,tt0001660,Her Crowning Glory,1911,Comedy
m100247,tt0001737,"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",1911,"Animation,Comedy"
m130450,tt0001740,The Lonedale Operator,1911,"Short,Drama,Romance"
m190883,tt0001789,The Miser's Heart,1911,"Short,Crime,Drama"
m70512,tt0002130,L'inferno,1911,"Adventure,Drama,Fantasy"
m326228,tt0130978,Brains Repaired,1911,"Fantasy,Comedy"
m105352,tt0000488,The Land Beyond the Sunset,1912,"Fantasy,Drama"
m90056,tt0001527,The Cameraman's Revenge,1912,Animation
m193827,tt0002054,A Beast at Bay,1912,Drama
m193899,tt0002082,The Burglar's Dilemma,1912,"Short,Drama"
m71266,tt0002101,Cleopatra,1912,"Drama,History"
m114146,tt0002113,The Conquest of the Pole,1912,"Adventure,Comedy,Science Fiction"
m192301,tt0002357,The Mender of Nets,1912,
m42553,tt0002381,The Musketeers of Pig Alley,1912,"Crime,Drama"
m128671,tt0002391,The New York Hat,1912,"Short,Drama"
m191068,tt0002415,The Painted Lady,1912,Drama
m46758,tt0002461,Richard III,1912,Drama
m205504,tt0002544,The Gardener,1912,"Short,Drama"
m46744,tt0201403,1812,1912,
m116857,tt0002795,Death's Marathon,1913,"Short,Drama,Romance"
m56508,tt0002844,Fantômas: In the Shadow of the Guillotine,1913,"Crime,Drama"
m191427,tt0002985,The House of Darkness,1913,"Short,Drama"
m147622,tt0003014,Ingeborg Holm,1913,Drama
m56511,tt0003037,Fantomas: The Man in Black,1913,"Crime,Drama"
m56516,tt0003165,Fantomas: The Dead Man Who Killed,1913,"Crime,Drama"
m28627,tt0003419,The Student of Prague,1913,"Drama,Horror"
m96128,tt0003471,Traffic in Souls,1913,Drama
m133123,tt0003489,The Last Days of Pompeii,1913,"Drama,Action"
m125673,tt0003662,The Battle at Elderbush Gulch,1913,"Action,Western"
m375298,tt0249011,Milling the Militants,1913,
m159878,tt0368309,Twilight of a Woman's Soul,1913,Drama
m28196,tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,"Drama,Horror"
m5153,tt0003740,Cabiria,1914,"Drama,History"
m92349,tt0003772,Cinderella,1914,"Fantasy,Drama"
m56512,tt0003930,Fantomas: The Mysterious Fingerprint,1914,"Crime,Drama"
m56515,tt0003952,Fantomas: The False Magistrate,1914,"Crime,Drama"
m100246,tt0004008,Gertie the Dinosaur,1914,"Animation,Comedy"
m147621,tt0004066,The Mysterious X,1914,"Mystery,Drama"
m53397,tt0004100,His Musical Career,1914,Comedy
m53392,tt0004101,His New Profession,1914,Comedy
m199989,tt0004150,In the Land of the Head Hunters,1914,Drama
m98078,tt0004181,Judith of Bethulia,1914,"Drama,History"
m53385,tt0004194,The Knockout,1914,Comedy
m22892,tt0004210,Laughing Gas,1914,Comedy
m53374,tt0004277,Mabel at the Wheel,1914,Comedy
m53387,tt0004282,Mabel's Married Life,1914,Comedy
m53368,tt0004288,Making a Living,1914,Comedy
m36821,tt0004465,The Perils of Pauline,1914,Comedy
m161710,tt0004635,The Squaw Man,1914,Western
m22943,tt0004707,Tillie's Punctured Romance,1914,"Comedy,Drama,Romance"
m151085,tt0004134,Hypocrites,1915,Drama
m227077,tt0004712,The Undesirable,1915,"Romance,Drama"
m87300,tt0004873,Alice in Wonderland,1915,"Family,Fantasy"
m53410,tt0004936,The Bank,1915,Comedy
m618,tt0004972,The Birth of a Nation,1915,"Drama,History,War"
m53406,tt0005044,By the Sea,1915,Comedy
m415021,tt0005059,The Captive,1915,"War,Drama,Romance"
m109632,tt0005060,Carmen,1915,Drama
m43678,tt0005074,The Champion,1915,Comedy
m70368,tt0005078,The Cheat,1915,Drama
m118580,tt0005084,Children of Eve,1915,Drama
m208517,tt0005149,The Coward,1915,"Drama,War,History"
m133213,tt0005198,The Dinosaur and the Missing Link: A Prehistoric Tragedy,1915,"Animation,Comedy"
m38730,tt0005339,A Fool There Was,1915,Drama
m53405,tt0005542,In the Park,1915,Comedy
m134144,tt0005557,The Italian,1915,Drama
m50775,tt0005571,A Jitney Elopement,1915,Comedy
m139238,tt0005622,The Lily of Belgium,1915,"Fantasy,Drama,Animation,War"
m53403,tt0005810,A Night Out,1915,Comedy
m53412,tt0005812,A Night in the Show,1915,Comedy
m132397,tt0005916,After Death,1915,Drama
m86081,tt0005960,Regeneration,1915,"Romance,Crime,Drama"
m53411,tt0006032,Shanghaied,1915,Comedy
m174187,tt0006145,That Little Band Of Gold,1915,Comedy
m30982,tt0006177,The Tramp,1915,Comedy
m29082,tt0006206,Les vampires,1915,"Crime,Action"
m120664,tt0006517,Civilization,1915,Drama
m282009,tt0006761,The Sea Vultures,1915,Drama
m53407,tt0192120,His Regeneration,1915,Western
m151086,tt0004413,The Ocean Waif,1916,Drama
m174593,tt0005529,Blind Justice,1916,"Crime,Drama,Horror"
m30266,tt0006333,"20,000 Leagues Under the Sea",1916,"Adventure,Drama,Action,Science Fiction"
m53419,tt0006414,Behind the Screen,1916,"Comedy,Romance"
m2079,tt0006548,The Count,1916,Comedy
m118576,tt0006589,The Devil's Needle,1916,Drama
m141868,tt0006668,Fatty and Mabel Adrift,1916,Comedy
m53417,tt0006684,The Fireman,1916,Comedy
m53416,tt0006689,The Floorwalker,1916,Comedy
m174594,tt0006731,Going Straight,1916,"Drama,Crime"
m126925,tt0006745,Gretchen the Greenhorn,1916,
m200324,tt0006753,The Half-Breed,1916,Western
m84772,tt0006780,Hell's Hinges,1916,"Romance,Western"
m172443,tt0006809,His Picture in the Papers,1916,Comedy
m112485,tt0006826,Hoodoo Ann,1916,
m3059,tt0006864,Intolerance: Love's Struggle Throughout the Ages,1916,Drama
m56801,tt0006886,Judex,1916,Adventure
m134155,tt0006895,King Lear,1916,Drama
m172445,tt0007047,The Matrimaniac,1916,"Romance,Comedy"
m52035,tt0007108,The Mystery of the Leaping Fish,1916,"Mystery,Comedy,Crime"
m53418,tt0007145,One A.M.,1916,Comedy
m2078,tt0007162,The Pawnshop,1916,Comedy
m174588,tt0007183,The Queen of Spades,1916,"Horror,Drama,Fantasy"
m53414,tt0007194,Police,1916,Comedy
m2077,tt0007264,The Rink,1916,Comedy
m342831,tt0007338,Sherlock Holmes,1916,"Mystery,Drama"
m174598,tt0007361,Snow White,1916,
m13707,tt0007507,The Vagabond,1916,Comedy
m148357,tt0007558,Where Are My Children?,1916,Drama
m174565,tt0146725,Farmer Al Falfa Sees New York,1916,Animation
m174552,tt0212633,A Life for a Life,1916,
m344339,tt0007610,'49-'17,1917,
m31819,tt0007613,The Adventurer,1917,Comedy
m38691,tt0007819,Coney Island,1917,Comedy
m53420,tt0007832,The Cure,1917,Comedy
m47650,tt0007880,Easy Street,1917,Comedy
m47653,tt0008133,The Immigrant,1917,"Comedy,Drama"
m400749,tt0008329,Mothers of Men,1917,Drama
m95866,tt0008443,The Poor Little Rich Girl,1917,"Romance,Comedy,Drama,Fantasy"
m286437,tt0008550,The Secret Game,1917,Drama
m157903,tt0008634,Straight Shooting,1917,Western
m108017,tt0008663,A Man There Was,1917,Drama
m206390,tt0008710,The Girl from the Marsh Croft,1917,Drama
m135275,tt0008775,Wild and Woolly,1917,"Drama,Action,Comedy"
m48214,tt0009062,The Merry Jail,1917,Comedy
m95242,tt0186650,The Dying Swan,1917,Drama
m53421,tt0007476,Triple Trouble,1918,Comedy
m47190,tt0008395,Father Sergius,1918,"History,Drama"
m136842,tt0008827,Amarilly of Clothes-Line Alley,1918,"Drama,Romance"
m45838,tt0008874,The Bell Boy,1918,Comedy
m70800,tt0008879,The Outlaw and His Wife,1918,Drama
m71271,tt0008891,The Blue Bird,1918,"Drama,Fantasy"
m174928,tt0008950,Carmen,1918,Drama
m36208,tt0009018,A Dog's Life,1918,Comedy
